"","diameter (mm)","delta (mm)","theta (degree)","length (mm)"
"1",8.4,0.692457030192093,45.3804312862707,9.13505287542611
"2",8.48621450854327,0.424320079203592,56.5441312612733,10.0658754531966
"3",8.63457383866979,0.503172822092285,48.9670318941495,12.8339987646523
"4",8.72150733478388,0.761290457329472,34.8,9.87500961763856
"5",8.87727159094024,0.592259607126641,42.1776085912564,8.06963245079343
"6",9.01925255316147,0.465887407976404,36.7516631169182,11.1699298164518
"7",9.1788499126435,0.63013210572634,52.4828736307904,11.7751479011463
"8",9.28785146945745,0.490547069862667,61.9843210685851,8.91383681944397
"9",9.51671322815201,0.732007770031268,57.8614523816137,12.9984243928618
"10",9.7166298561766,0.680302938005236,63.824871130832,7.45357940441201
"11",9.81145033295029,0.563527772549769,47.1414254767082,10.3143015586955
"12",9.98695405629468,0.418711320822585,39.4805672546132,12.5107897931528
"13",10.1196038192807,0.65014953374382,35.8092574751979,8.72504177231565
"14",10.2962574309347,0.529541511839774,54.5377925264489,7.82258919894661
"15",10.4533748239279,0.442066704997948,64.6,10.8358772400612
"16",10.6152331918295,0.738798120160963,39.0455068053713,7.19178368165342
"17",10.796999372301,0.617401564593943,59.4675295369818,9.68562816999887
"18",11.0026246677937,0.77,43.4272729936721,11.5803300946521
"19",11.1796554132917,0.453818039373314,50.5709556363255,8.58405695671599
"20",11.3053662114495,0.549632957639186,63.2295860811293,12.6150898027955
"21",11.5278672726441,0.701069502019636,55.1855165664127,11.0281651986855
"22",11.6753133490282,0.519437532112554,38.3158822382537,9.46798631833662
"23",11.7754582489722,0.415065383150104,61.1011773164948,7.13282854567105
"24",11.9707422984429,0.658701241322504,46.4839509783789,13.1
"25",12.2432412428347,0.744621731330707,62.5823244797738,10.1927057870642
"26",12.428008046848,0.484044738249132,44.0587586007956,7.37642662926262
"27",12.5951606920586,0.721827234229773,36.2692404987648,12.2414325553009
"28",12.8115830280007,0.51086716090385,60.2995004755301,11.3978136581069
"29",12.9957163394691,0.766845062795315,56.9654581156597,8.25625210633437
"30",13.1029499150902,0.638493851712814,41.4083337853371,10.6931996387949
"31",13.3001098940644,0.555580119806423,34.9876333822285,7.66988794733187
"32",13.4697638105662,0.435428984194805,45.6776240319812,11.8824848716407
"33",13.6527209702554,0.610637451494531,49.8412062447113,7.07
"34",13.8647148789087,0.756043161682492,51.3740507388487,12.6901007305291
"35",13.9445268547218,0.575598834864747,64.268968753427,9.23095576055111
"36",14.064849955515,0.41,40.7289377249449,8.35717354157683
"37",14.2127108329184,0.475595709905489,53.3624792301765,10.4792932344163
"38",14.3393620462616,0.6719596777699,58.8160700316786,12.0418902967895
"39",14.4562157765702,0.58424556711163,37.6158497764999,12.9448364430642
"40",14.5,0.715890794684654,47.4836494177787,7.91555248722363
